Environment_1,Environment_2,n,R2_SMA,Spearman,NMI_obs,NMI_perm_media,NMI_corrigida,Z_MI,p_MI,NMI_bins_4,NMI_bins_6,NMI_bins_8,p_MI_FDR,Year_1,Location_1,Treatment_1,Nitrogen_1,Fungicide_1,Water_1,Year_2,Location_2,Treatment_2,Nitrogen_2,Fungicide_2,Water_2,same_year,same_location,same_management,same_nitrogen,same_fungicide,same_water,z_R2,z_NMI,MI_advantage
2015__GGE__HN_WF_RF,2015__KAL__LN_NF_RF,220,0.5416744939373623,0.7338487459357725,0.25589586882406673,0.033191986278597166,0.22270388254546958,23.817813519123188,0.001,0.2473791107524571,0.25589586882406673,0.23246725429926765,0.0010112359550561798,2015,GGE,HN_WF_RF,HN,WF,RF,2015,KAL,LN_NF_RF,LN,NF,RF,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.5484421744093118,1.1631352613491677,0.6146930869398559
2015__QLB__HN_WF_RF,2017__GGE__LN_NF_RF,220,0.28521396681424993,0.5559919532522272,0.15905134212979213,0.0332467157057063,0.12580462642408582,13.20180912050485,0.001,0.13674233403045366,0.15905134212979213,0.1700367355261252,0.0010112359550561798,2015,QLB,HN_WF_RF,HN,WF,RF,2017,GGE,LN_NF_RF,LN,NF,RF,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-1.063177356245864,-0.4510372652099436,0.6121400910359204
2016__HAN__HN_NF_RF,2017__QLB__HN_WF_RF,220,0.2149781257204826,0.5090999250548003,0.13212713833094733,0.032847774360333225,0.0992793639706141,10.329858485573393,0.001,0.11588209995068716,0.13212713833094733,0.11334168267890163,0.0010112359550561798,2016,HAN,HN_NF_RF,HN,NF,RF,2017,QLB,HN_WF_RF,HN,WF,RF,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,-1.5045452912200088,-0.8929018535049126,0.6116434377150962
2015__QLB__HN_WF_RF,2017__KAL__HN_NF_RF,220,0.21670555590340618,0.5383048860889312,0.13319546727357176,0.03332363525225981,0.09987183202131195,10.167174365749595,0.001,0.12753676511779186,0.13319546727357176,0.14319622372991858,0.0010112359550561798,2015,QLB,HN_WF_RF,HN,WF,RF,2017,KAL,HN_NF_RF,HN,NF,RF,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,-1.4936899746070689,-0.8830323695833591,0.6106576050237098
2016__KIE__HN_NF_RF,2016__QLB__LN_NF_RF,216,0.5165095280116052,0.7308458066897676,0.24649199174081388,0.03384579272401515,0.2126461990167987,21.998966914979473,0.001,0.22848119181388815,0.24649199174081388,0.22691769558089817,0.0010112359550561798,2016,KIE,HN_NF_RF,HN,NF,RF,2016,QLB,LN_NF_RF,LN,NF,RF,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0.39030341118843864,0.9955918035080717,0.605288392319633
2017__HAN__HN_WF_RF,2017__KAL__HN_NF_RF,220,0.6110619443970997,0.7720685438654818,0.28136140546332794,0.03313965644504854,0.2482217490182794,26.603102211686945,0.001,0.25330437827158,0.28136140546332794,0.24732905200921879,0.0010112359550561798,2017,HAN,HN_WF_RF,HN,WF,RF,2017,KAL,HN_NF_RF,HN,NF,RF,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,0.9844787512568658,1.5882183904210283,0.6037396391641625
2015__KIE__HN_WF_RF,2017__KAL__HN_WF_RF,220,0.6494676406703723,0.7877439240855841,0.2955039010605911,0.03284368683790303,0.2626602142226881,27.221299234248374,0.001,0.2607505454398698,0.2955039010605911,0.26292668389394,0.0010112359550561798,2015,KIE,HN_WF_RF,HN,WF,RF,2017,KAL,HN_WF_RF,HN,WF,RF,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,1.2258233780372059,1.8287380269127784,0.6029146488755726
2017__HAN__LN_NF_RF,2017__KIE__HN_NF_RF,215,0.3712797884949393,0.6622413002004396,0.19079663344803802,0.033608353272235415,0.1571882801758026,16.010429788656833,0.001,0.19814054692741864,0.19079663344803802,0.20222367549926232,0.0010112359550561798,2017,HAN,LN_NF_RF,LN,NF,RF,2017,KIE,HN_NF_RF,HN,NF,RF,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,-0.5223324913520944,0.07175964466112868,0.5940921360132231
2015__KAL__LN_NF_RF,2017__QLB__HN_WF_RF,220,0.14934230113635424,0.4070358328214896,0.1069519114378638,0.03354148398376631,0.07341042745409748,7.571419285196206,0.001,0.07096230123937534,0.1069519114378638,0.09128250411979771,0.0010112359550561798,2015,KAL,LN_NF_RF,LN,NF,RF,2017,QLB,HN_WF_RF,HN,WF,RF,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-1.9170063354089233,-1.3238331969195083,0.593173138489415
2017__KAL__HN_NF_RF,2017__QLB__HN_WF_RF,220,0.28065368624542797,0.5531575596039738,0.15566218995634548,0.03292067848358781,0.12274151147275766,12.906318727636405,0.001,0.1167630976823218,0.15566218995634548,0.1547883229611818,0.0010112359550561798,2017,KAL,HN_NF_RF,HN,NF,RF,2017,QLB,HN_WF_RF,HN,WF,RF,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,-1.0918345430356764,-0.50206341544099,0.5897711275946864
2015__GGE__HN_WF_RF,2015__KAL__HN_NF_RF,220,0.37632043440037005,0.6005950536168103,0.19162130197173335,0.0329208817370595,0.15870042023467384,16.820749732444494,0.001,0.15237239713960374,0.19162130197173335,0.17487912477486364,0.0010112359550561798,2015,GGE,HN_WF_RF,HN,WF,RF,2015,KAL,HN_NF_RF,HN,NF,RF,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,-0.4906566483697958,0.09694925949451623,0.587605907864312
