BRISONr,Merito_multicarater,DP_indice_local,n_ambientes,Fracao_ambientes,Entropia_Shannon,Entropia_normalizada,Fracao_quartil_superior,Fracao_quartil_inferior,genotype,RYear,Genotipo,Quadrante,Pareto,Z_merito,Z_estabilidade,Escore_integrado_exploratorio,Rank_exploratorio
BRISONr_113,0.13719784472527885,0.2775686681695995,45,1,1.2679243997657401,0.9146141218820745,0.24444444444444444,0.08888888888888889,BRISONr_113,NA,BRISONr_113,Superior e instável,FALSE,0.4262227474279624,-0.5517460024398388,-0.12552325501187644,95
BRISONr_6,0.17063894415305975,0.36014309913267195,45,1,1.2970710925907123,0.935639016480525,0.3111111111111111,0.08888888888888889,BRISONr_6,NA,BRISONr_6,Superior e instável,FALSE,0.5287895578111519,-0.6629816034862234,-0.13419204567507148,96
BRISONr_8,0.1746125276834737,0.3448935086689219,45,1,1.300370838199058,0.9380192797932028,0.3111111111111111,0.08888888888888889,BRISONr_8,NA,BRISONr_8,Superior e instável,FALSE,0.5409768900304737,-0.6755747710283748,-0.13459788099790115,97
BRISONr_107,0.18505291349822084,0.3689550217367624,45,1,1.3095900070775048,0.9446695044042294,0.3333333333333333,0.13333333333333333,BRISONr_107,NA,BRISONr_107,Superior e instável,FALSE,0.5729984769553019,-0.7107588585507693,-0.13776038159546733,98
BRISONr_133,-0.224080001114342,0.28695984347118314,45,1,0.9812079668975191,0.7077919339618965,0.022222222222222223,0.4444444444444444,BRISONr_133,NA,BRISONr_133,Inferior e estável,FALSE,-0.6818483669773363,0.5424801909568544,-0.1393681760204819,99
BRISONr_95,0.15201893442503636,0.3531039847432755,45,1,1.2878277366959365,0.9289713446252427,0.26666666666666666,0.08888888888888889,BRISONr_95,NA,BRISONr_95,Superior e instável,FALSE,0.47168034071643006,-0.6277052084998221,-0.15602486778339208,100
BRISONr_74,0.028212850302397764,0.2577811133539952,45,1,1.1910772795532507,0.8591806422634962,0.08888888888888889,0.1111111111111111,BRISONr_74,NA,BRISONr_74,Inferior e estável,FALSE,0.09195612794300644,-0.25846622428963256,-0.1665100963466261,101
BRISONr_125,-0.2606836250188366,0.3430033465767849,45,1,0.9593479999137453,0.69202330098115306,0.06666666666666667,0.5555555555555556,BRISONr_125,NA,BRISONr_125,Inferior e estável,FALSE,-0.7941149197100797,0.6259066908653061,-0.1682082288447736,102
BRISONr_127,0.15713339875749222,0.3253785346477004,45,1,1.2993829963066392,0.9373067024935153,0.4,0.1111111111111111,BRISONr_127,NA,BRISONr_127,Superior e instável,FALSE,0.48736685528606766,-0.6718047657210198,-0.1844379104349521,103
BRISONr_99,0.13652289178635435,0.5485954177152064,45,1,1.2836794773561802,0.9259790080363488,0.4444444444444444,0.24444444444444444,BRISONr_99,NA,BRISONr_99,Superior e instável,FALSE,0.4241526070531296,-0.6118737684210107,-0.18772116136788108,104
