Trait,Trait_abbrev,Environment_1,Environment_2,n,R2_SMA,Spearman,NMI_obs,NMI_perm_media,NMI_corrigida,Z_MI,p_MI
Seedyield,GY,2015__HAN__HN_NF_RF,2017__GGE__HN_NF_RF,220,0.39295946798189263,0.6059313772448341,0.16322670420940977,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2017__GGE__HN_WF_RF,220,0.37169443206672975,0.5775547578931947,0.16397439490548235,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2017__GGE__LN_NF_RF,220,0.3502167999354453,0.5481446836805419,0.15021182391635574,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2017__HAN__HN_NF_RF,220,0.7048333856309812,0.7955911936572694,0.27144289996065174,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2017__HAN__HN_WF_RF,220,0.48216301378444326,0.6608611372511454,0.1936449429724483,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2017__HAN__LN_NF_RF,220,0.5272699528666301,0.6569932887418786,0.171311172425596,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2017__KAL__HN_NF_RF,220,0.6763742231527349,0.7544817793004739,0.2495321606266481,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2017__KAL__HN_WF_RF,220,0.317920345185901,0.5424296895690933,0.1503540630683286,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2017__KAL__LN_NF_RF,220,0.235130683832434,0.40468041225494894,0.08184101859003351,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2017__KIE__HN_NF_RF,215,0.37668722982182845,0.6576976019705862,0.18967228591832036,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2017__KIE__HN_WF_RF,216,0.3400031389083726,0.5550316150466187,0.15130674047375428,NA,NA,NA,NA
