BRISONr,Condition,tem_yield,peso_disponivel,n_traits_disponiveis,MI_Index_Local
BRISONr_25,2016__QLB__HN_NF_RF,TRUE,1,4,0.9950982189830434
BRISONr_25,2016__QLB__HN_WF_RF,TRUE,1,4,0.1254032979718495
BRISONr_25,2016__QLB__LN_NF_RF,TRUE,1,4,0.9073335610651247
BRISONr_25,2017__GGE__HN_NF_RF,TRUE,1,4,0.3022059318161838
BRISONr_25,2017__GGE__HN_WF_RF,TRUE,1,4,0.053296045441258974
BRISONr_25,2017__GGE__LN_NF_RF,TRUE,1,4,-0.5501843774959081
BRISONr_25,2017__HAN__HN_NF_RF,TRUE,1,4,0.4256369937820819
BRISONr_25,2017__HAN__HN_WF_RF,TRUE,1,4,0.4761582642713626
BRISONr_25,2017__HAN__LN_NF_RF,TRUE,1,4,0.4430878493376993
BRISONr_25,2017__KAL__HN_NF_RF,TRUE,1,4,0.5022058750329109
BRISONr_25,2017__KAL__HN_WF_RF,TRUE,1,4,0.035381512522160784
BRISONr_25,2017__KAL__LN_NF_RF,TRUE,1,4,-0.19983090885806332
BRISONr_25,2017__KIE__HN_NF_RF,TRUE,1,4,0.5779800626601806
BRISONr_25,2017__KIE__HN_WF_RF,TRUE,1,4,-0.014114901013668635
BRISONr_25,2017__KIE__LN_NF_RF,TRUE,1,4,0.6393564642827572
BRISONr_25,2017__QLB__HN_NF_RF,TRUE,1,4,0.9880851502613759
BRISONr_25,2017__QLB__HN_WF_RF,TRUE,1,4,0.39132394207454446
BRISONr_25,2017__QLB__LN_NF_RF,TRUE,1,4,0.6304122442413547
BRISONr_26,2015__GGE__HN_NF_RF,TRUE,1,4,0.7676257379876733
BRISONr_26,2015__GGE__HN_WF_RF,TRUE,1,4,0.6292571010757217
BRISONr_26,2015__GGE__LN_NF_RF,TRUE,1,4,0.46689108039858124
BRISONr_26,2015__HAN__HN_NF_RF,TRUE,1,4,0.39860845785679505
BRISONr_26,2015__HAN__HN_WF_RF,TRUE,1,4,0.7859295300017732
BRISONr_26,2015__HAN__LN_NF_RF,TRUE,1,4,0.5475499887859021
BRISONr_26,2015__KAL__HN_NF_RF,TRUE,0.9232988434688713,3,0.6485079006283817
BRISONr_26,2015__KAL__HN_WF_RF,TRUE,0.9232988434688713,3,-0.14436158310039415
BRISONr_26,2015__KAL__LN_NF_RF,TRUE,0.9232988434688713,3,0.30033739048562436
BRISONr_26,2015__KIE__HN_NF_RF,TRUE,1,4,0.6782266633728944
BRISONr_26,2015__KIE__HN_WF_RF,TRUE,1,4,0.5482772806589115
BRISONr_26,2015__KIE__LN_NF_RF,TRUE,1,4,0.2005655830570656
BRISONr_26,2015__QLB__HN_NF_RF,TRUE,1,4,0.5409172520341448
BRISONr_26,2015__QLB__HN_WF_RF,TRUE,1,4,0.26018465188444345
BRISONr_26,2015__QLB__LN_NF_RF,TRUE,1,4,0.5195638834945455
BRISONr_26,2016__GGE__HN_NF_RF,TRUE,1,4,0.5282448288781485
BRISONr_26,2016__GGE__HN_WF_RF,TRUE,1,4,0.5465778106950372
BRISONr_26,2016__GGE__LN_NF_RF,TRUE,1,4,-0.044790479255684634
BRISONr_26,2016__HAN__HN_NF_RF,TRUE,1,4,0.529969787629979
BRISONr_26,2016__HAN__HN_WF_RF,TRUE,1,4,0.7979936959535451
BRISONr_26,2016__HAN__LN_NF_RF,TRUE,1,4,0.7268039287818173
BRISONr_26,2016__KAL__HN_NF_RF,TRUE,1,4,0.693943610459412
BRISONr_26,2016__KAL__HN_WF_RF,TRUE,1,4,0.7167753053502527
BRISONr_26,2016__KAL__LN_NF_RF,TRUE,1,4,0.588946381325287
BRISONr_26,2016__KIE__HN_NF_RF,TRUE,1,4,0.8589585795285416
BRISONr_26,2016__KIE__HN_WF_RF,TRUE,1,4,0.5892760949254092
BRISONr_26,2016__KIE__LN_NF_RF,TRUE,1,4,0.7324240019327771
BRISONr_26,2016__QLB__HN_NF_RF,TRUE,1,4,0.7064184985471293
BRISONr_26,2016__QLB__HN_WF_RF,TRUE,1,4,0.18649339737960668
BRISONr_26,2016__QLB__LN_NF_RF,TRUE,1,4,0.44007024431761654
BRISONr_26,2017__GGE__HN_NF_RF,TRUE,1,4,0.9628956003100055
BRISONr_26,2017__GGE__HN_WF_RF,TRUE,1,4,0.6798439963073183
BRISONr_26,2017__GGE__LN_NF_RF,TRUE,1,4,0.4219188077218734
BRISONr_26,2017__HAN__HN_NF_RF,TRUE,1,4,0.5670432549885683
BRISONr_26,2017__HAN__HN_WF_RF,TRUE,1,4,0.9806023234702685
BRISONr_26,2017__HAN__LN_NF_RF,TRUE,1,4,0.4138464409531155
BRISONr_26,2017__KAL__HN_NF_RF,TRUE,1,4,0.6780979447540998
BRISONr_26,2017__KAL__HN_WF_RF,TRUE,1,4,0.3199758901594225
BRISONr_26,2017__KAL__LN_NF_RF,TRUE,1,4,0.3550058293192649
BRISONr_26,2017__KIE__HN_NF_RF,TRUE,1,4,1.0309600017239282
BRISONr_26,2017__KIE__HN_WF_RF,TRUE,1,4,0.4546112012823849
BRISONr_26,2017__KIE__LN_NF_RF,TRUE,1,4,0.2367850984746103
